Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ZNF678,13.65706742,-0.057269468,0.093199088,0.208917223,0.608193855
INSIG2,30.03488953,-0.057229981,0.092860745,0.208865884,0.608193855
STX6,34.2809283,-0.059944695,0.083294386,0.224514413,0.624645289
ARHGEF17,17.67515391,-0.05767261,0.092336209,0.211786916,0.611255215
NR1H3,16.06258058,-0.057728879,0.092078937,0.212459362,0.61163456
TNFRSF10A-AS1,5.780952099,0.048720234,0.099910137,0.159720816,0.548964343
LURAP1L,19.20358966,0.052023856,0.099145037,0.179470027,0.573342032
CD80,8.532702754,-0.049129944,0.099848387,0.162225106,0.550780106
SEMA3D,3.544428278,0.042755966,0.099699669,0.123747984,NA
SRPX,7.3664811,0.046862935,0.100132286,0.148646333,0.533615671
NENF,82.71641023,-0.059095486,0.086114017,0.220607622,0.621494071
ZNF780B,17.08024109,-0.058214451,0.09086481,0.215732538,0.615968308
NCOA4,191.378759,0.059520997,0.076798542,0.223150914,0.623473808
RPL23P2,3.954968098,-0.047259556,0.10024447,0.151215312,NA
LINC00216,13.43113062,-0.056214878,0.094409242,0.204330494,0.603300534
LOC124902202,2.242918981,0.037620092,0.098457659,0.093237791,NA
ZFP3,7.436904723,-0.055039675,0.096843408,0.197567098,0.597869373
PCF11,35.85917334,-0.059741294,0.070225659,0.224483324,0.624645289
MRPL20-DT,4.797493334,-0.051097165,0.099612018,0.174439503,0.56747658
BRD7,22.24630987,-0.059105378,0.088122077,0.221054114,0.622284743
TMEM94,14.49822239,-0.058375791,0.090652634,0.216932707,0.617164506
TDRD7,22.07011933,0.059369726,0.086325539,0.222585847,0.623044102
PIGT,16.48028554,0.056091866,0.095057712,0.203936612,0.603147623
UBE2V1,7.995754455,-0.055535857,0.096095699,0.200857394,0.600390063
SCUBE3-AS1,2.61401345,-0.044565291,0.100141334,0.135364198,NA
LOC102723604,4.209431343,0.049415503,0.09942882,0.164926931,NA
MIR3193,3.862347284,0.032250896,0.096755476,0.063261048,NA
SLC26A1,6.173446369,-0.053492868,0.098082218,0.189415364,0.586453097
METTL5,15.52420941,0.058993143,0.085944267,0.221278991,0.622464887
LINC01914,1.944031385,0.040613682,0.099178386,0.111856676,NA
MIR604,35.82086288,-0.049558477,0.099449004,0.166126217,0.55560484
RPL5P9,3.1803677,-0.03492666,0.097600315,0.078319272,NA
LINC02159,6.060693328,-0.021753055,0.093193552,0.016770261,0.21265941
PLEKHA7,18.46052555,-0.054760569,0.096207209,0.197372501,0.597811678
SH2D4A,32.28210518,0.050108092,0.099786151,0.169769852,0.562530353
SLC4A4,27.92690317,-0.036614666,0.098091401,0.088327914,0.435117162
SCARNA9,35.81322063,0.05222624,0.09892129,0.182616063,0.577796607
LTBP1,52.81856742,0.052540309,0.09838393,0.184759779,0.580260232
FOXC1,4.550364882,0.042637805,0.099664244,0.124849666,NA
TTLL3,4.449121254,-0.05062692,0.099697718,0.173396314,NA
RPL12P29,8.990905558,-0.052929336,0.098173101,0.187214836,0.582886265
SDHB,58.43556196,0.060044991,0.078142885,0.228430219,0.628549511
ZBTB46,4.705204427,-0.0481795,0.099992973,0.158900921,0.547272797
TRMT44,6.994928615,-0.055063897,0.096495218,0.200004698,0.600337131
SNORD9,35.04191008,-0.048588108,0.099595034,0.161431112,0.549905495
SNORD116-11,3.784798534,-0.033704326,0.097147299,0.072204892,NA
PDPR2P,10.62273436,-0.057049072,0.093270574,0.211726076,0.611255215
MUC20P1,6.908363957,0.041527151,0.099543959,0.118595514,0.492299952
NDFIP2,21.95667402,0.053602334,0.09778905,0.191729308,0.589153424
LRMDA,9.783359904,0.055323288,0.095384512,0.20213657,0.601520601
MIR647,8.767928442,-0.046480441,0.099865741,0.149136348,0.5343676
PROCR,16.73409882,0.054454282,0.097112511,0.197105911,0.597542193
SCARNA21B,4.681343689,-0.050344064,0.099658366,0.172747064,0.565569012
SAFB2,24.01700458,-0.059820635,0.080796242,0.228226197,0.628218453
CPT1A,31.29221995,0.054527577,0.096976631,0.197843799,0.597873048
POU6F1,3.994744934,-0.045199277,0.099987047,0.141619807,NA
COX15,18.98696942,0.058699247,0.087522687,0.222111314,0.622793393
VN1R80P,2.388516582,-0.042470717,0.09969172,0.125070827,NA
KLHDC9,9.829027279,-0.044548999,0.099809527,0.137905726,0.517817898
ZC3H7A,37.49522921,-0.059468273,0.082269364,0.226823489,0.627172652
ZNF571,4.567302873,-0.048346692,0.099897501,0.161385083,NA
PGM1,41.87415425,0.057880531,0.089041683,0.21810452,0.619051239
MAP2K2,28.32528674,-0.058665321,0.088028878,0.222610628,0.623044102
ITIH5,3.998311228,0.039545806,0.09895636,0.107691775,NA
CHD7,18.33499735,0.053361931,0.097665165,0.191863547,0.589153424
RN7SL8P,3.316743238,-0.0285863,0.095435609,0.045885385,NA
PLCG2,11.0624261,0.051279203,0.098806517,0.179502171,0.573342032
CXCL10,67.07122568,-0.034418744,0.097356651,0.077469586,0.413364245
ADGRE2,4.533256276,0.045724467,0.099805971,0.145915003,NA
LOC105372069,5.293371223,-0.045679586,0.099887007,0.145703817,0.529671661
VWA5A,30.47231522,0.051728766,0.098760347,0.182697975,0.577826221
HMGN3,139.8314333,-0.049864706,0.099197586,0.171496846,0.564410021
ZNF549,4.753511029,-0.05097961,0.099261331,0.178307105,0.572244953
CD28,6.773747607,0.048156539,0.099685473,0.161169292,0.549905495
SLC39A3,6.186498586,-0.053090835,0.097917715,0.191154661,0.588801858
RRP9,23.94129385,-0.056697146,0.092662322,0.212553378,0.611661466
YKT6,34.09219216,0.057462582,0.091824342,0.217121611,0.617467864
SPTBN1-AS1,6.077593686,-0.047783509,0.099794132,0.159447583,0.548507616
RNU7-180P,6.671427154,-0.047621247,0.099769625,0.158470985,0.547272797
GRK5,8.06143519,0.048067607,0.099670423,0.161361404,0.549905495
ATL1,5.029252407,0.048493192,0.099436141,0.164141147,0.553410408
PRSS48,10.41323746,-0.053921957,0.097127171,0.197142356,0.597542193
DERA,35.81262849,0.057926189,0.09007303,0.220563322,0.621485914
CD53,106.9182734,0.054815446,0.095393568,0.202453784,0.602015546
LOC100286962,12.72365112,-0.052447314,0.097771835,0.1887083,0.585471597
TPSD1,2.951235344,-0.031299078,0.096318681,0.061191121,NA
ASB16,3.10957709,-0.045418577,0.099992574,0.145984821,NA
BMS1P23,32.12266616,-0.049486438,0.099121067,0.171012468,0.563740236
RAB38,32.08372035,-0.042581475,0.099323659,0.128953032,0.505625314
HNRNPA2B1,91.75447571,0.059317611,0.072129138,0.229849788,0.630069148
SPIN3,5.637095767,-0.051612182,0.097775744,0.184783404,0.580260232
GALNT12,24.13834471,0.047225396,0.099956809,0.158035292,0.547100707
ZNF16,7.44207751,-0.053003344,0.09745415,0.193436346,0.591517445
DNAJB6,20.19175615,0.058750247,0.084663232,0.227222632,0.627172652
RPL18AP7,3.484829578,-0.047150747,0.099877152,0.157977948,NA
ADGRG2,2.861291562,-0.039611542,0.098763453,0.111190452,NA
MPDU1-AS1,5.413675136,-0.047181656,0.099691908,0.158179432,0.547100707
MRPL16,30.14576373,0.059365296,0.077084802,0.23095738,0.631106913
IL32,27.31089203,0.050552304,0.099058148,0.178957219,0.573280403
NCL,91.01064984,0.059400067,0.071663567,0.231238388,0.631386404
RPL36AP43,5.649980155,-0.043701261,0.099580742,0.136837587,0.517383439
NPC1,32.01884433,-0.058241959,0.087382122,0.225008887,0.625134382
KIF5B,153.3212166,0.059243037,0.074714826,0.231106946,0.631386404
MTND5P25,4.745315992,-0.048908756,0.099442641,0.169610916,0.562496651
NOP58,47.15352006,0.059270611,0.075264459,0.231366962,0.631421474
NLRC3,7.47417456,-0.052735646,0.097486801,0.193099202,0.59127275
TRAJ44,11.58898945,-0.04242328,0.099311079,0.129604546,0.506098971
PTPRN2,9.121907732,0.037105707,0.098211358,0.096758648,0.452756529
ZDHHC11,6.196231623,-0.041627295,0.099257753,0.124778531,0.499975335
PPA2,39.77541383,0.057241515,0.083214337,0.220247438,0.621062192
CYB561D2,16.60043953,0.057228714,0.090310158,0.220208186,0.621062192
GFPT1,79.88561029,0.05740831,0.090548052,0.221275675,0.622464887
VAMP3,92.55766171,0.059013084,0.07618899,0.230615966,0.630943652
ZNF550,9.260561266,-0.056252951,0.093400546,0.214671628,0.614678201
RNU6-123P,12.74005105,-0.048472511,0.099270978,0.16774213,0.558396401
PITPNM2,6.505908702,-0.048052507,0.09936049,0.165191358,0.554083191
PRIM2,11.35818303,-0.055419062,0.094190331,0.210325014,0.609808472
MNDA,33.76763587,0.051203504,0.098593108,0.185112311,0.580705716
ZBTB12,5.086650784,-0.050613043,0.098850064,0.181520816,0.576754857
MARCHF5,20.75500024,0.058845308,0.080692061,0.230534039,0.630943652
IGLV7-43,81.88525027,0.039439045,0.09887093,0.11199891,0.479346132
SMAD4,18.7829795,0.058270389,0.086134082,0.22736799,0.627172652
PARK7,101.8781701,0.059150372,0.074017082,0.232505046,0.632572184
LINC01535,2.466214827,-0.029340695,0.09564968,0.052874667,NA
ZBTB16,23.40642644,-0.031076179,0.09620332,0.062330682,0.37268157
CTBP2,19.3340564,0.057468302,0.089262228,0.222982171,0.623386549
BET1,17.64930257,-0.051500434,0.097840616,0.187502381,0.583539444
TRIM2,28.65344552,-0.045235314,0.099475467,0.148723832,0.533670743
AIFM2,9.868503301,0.054406226,0.095355648,0.205253146,0.603952616
NDUFAF5,6.060333556,0.052357453,0.097245463,0.193272651,0.591441894
TFRC,89.36219243,0.052703782,0.097589057,0.195446869,0.593745898
HCCS,18.50881331,0.058208634,0.086107874,0.228105165,0.628115671
IGFBPL1,8.943029533,-0.031102365,0.096213645,0.062954547,0.373471374
RPS11,1125.07358,0.053888841,0.08405198,0.202867119,0.602085038
SLC22A4,5.786535182,0.050470157,0.098315848,0.182118547,0.57738635
STX5,36.63645537,0.058576604,0.070080605,0.230645424,0.630943652
PLVAP,36.36694788,0.049487833,0.099223117,0.176179323,0.569896032
PTBP1,53.53040684,-0.05898959,0.073758065,0.233054963,0.633264844
CPM,71.40460194,-0.039357971,0.098625248,0.112916258,0.481098786
NUDCD1,11.36941601,-0.055092736,0.094297277,0.210720207,0.610072994
PRF1,17.68583353,-0.044453855,0.099307012,0.145197379,0.528726992
MALL,37.84797921,-0.039482321,0.098651009,0.113948625,0.483217642
LINC02809,2.470778505,-0.042686085,0.099439782,0.134303377,NA
TRAPPC12-AS1,4.63759596,-0.043225482,0.099415505,0.137774997,0.517817898
RAB41,2.170700763,-0.041830785,0.099300255,0.129028019,NA
FAM3C2P,16.08608144,0.047879098,0.099421229,0.167296225,0.557826753
RDH13,4.523873032,0.049292467,0.098764123,0.176126365,NA
BTBD19,6.006541758,0.050580306,0.098177008,0.184268938,0.579726842
RPL39,162.7688583,0.056279562,0.09265757,0.21871993,0.619899198
FAS,17.89518326,-0.05008821,0.098386553,0.181284516,0.576546005
SMPD3,5.166856229,0.038704182,0.098501585,0.109776934,0.475274659
SLC41A2,37.53927696,0.052743471,0.097282711,0.197802752,0.597869373
DIS3,21.1263742,0.058418256,0.082969729,0.231595436,0.63170645
ABHD15,12.00673023,-0.056457474,0.091786616,0.220152477,0.621062192
SPAG17,7.248404736,0.043059544,0.099420268,0.137518946,0.517722442
ENC1,45.72141091,0.052031382,0.097756303,0.193691422,0.591517445
LAPTM4B,249.022955,-0.039760912,0.0986788,0.116753858,0.488019038
PJA1,31.32945041,0.056960576,0.090595151,0.223360888,0.623624168
NPY6R,2.123389192,-0.036733096,0.09797609,0.098072749,NA
ZNF470-DT,2.096303373,-0.041380354,0.099161391,0.127507237,NA
GRAP2,3.854911367,-0.046965296,0.099446342,0.162963676,NA
CSNK2A2,9.264234381,-0.055857562,0.093046377,0.217561933,0.618017528
PPP1R12A-AS2,2.397109936,0.042684284,0.099161459,0.136225842,NA
NUP188,25.44360835,-0.057293517,0.088455161,0.226701428,0.627172652
MIR93,4.335510362,-0.042371388,0.099164495,0.134790744,NA
GEMIN8P4,2.597855139,0.042802387,0.099126223,0.137581056,NA
APBB3,11.75656071,-0.056663798,0.090596664,0.223559876,0.623671624
RN7SKP227,13.76188426,-0.042355984,0.099066176,0.135152277,0.515352648
TRIM39,7.619219349,-0.054459425,0.0947494,0.211081827,0.610469792
ATP5MF,30.21954699,0.061356949,0.084614709,0.251486559,0.650962733
NEBL-AS1,2.14093255,-0.033626541,0.097011072,0.080570822,NA
NFATC2IP,19.17474151,-0.058283559,0.080080939,0.23407387,0.634540145
C2CD3,14.47015511,0.057465689,0.086268529,0.229339902,0.62980847
RNU6-181P,2.572367497,-0.034845885,0.097381861,0.088206696,NA
NDUFA10,15.0353594,0.058448751,0.082797013,0.235351875,0.635822831
BLOC1S4,20.74188393,0.056210569,0.091449782,0.222213241,0.622793393
DICER1-AS1,3.188262176,-0.044984272,0.099495927,0.15270171,NA
FNDC4,10.63236042,0.039685656,0.098696237,0.11882763,0.492299952
CYB5D2,15.64440089,0.052865324,0.096368493,0.202100213,0.601520601
MELTF,5.031626241,0.038399157,0.098414742,0.110815966,0.477150787
SENP6,32.58663264,0.058336033,0.079499423,0.23510219,0.635720388
THAP11,24.82932452,-0.058356194,0.08205089,0.235265284,0.635822831
HLA-DQA1,124.250013,-0.042131918,0.098913399,0.134774625,0.515022837
LOC124902860,2.493177008,-0.042879968,0.099303396,0.139639893,NA
MPZL1,71.45565551,0.05838242,0.077656916,0.235528384,0.635848109
TPSAB1,19.8632019,-0.037659579,0.098081142,0.106362395,0.469006916
COPZ1,77.59358123,0.05825842,0.082984625,0.234965246,0.635720388
DPH3,12.65178284,0.057294897,0.087519069,0.229388443,0.62980847
PSMD5,27.28160565,0.058340389,0.081209935,0.235590551,0.635848109
MIR125B1,12.25679959,0.041666238,0.099083138,0.132145358,0.510099465
HCFC2,15.31734264,-0.057512401,0.086718262,0.230887923,0.631089894
SNTA1,20.7240811,0.050574106,0.098188867,0.189000217,0.585771888
KLF15,11.59142811,-0.035134004,0.09739532,0.090906686,0.441789164
SYT7,11.95370598,0.039171071,0.098569784,0.116398942,0.487224669
EMC9,9.931627289,-0.054098515,0.094864616,0.210884333,0.610072994
ISG20L2P2,4.159538878,-0.048105429,0.099075889,0.173823961,NA
MAP1A,6.72836928,0.04573976,0.099387556,0.158902623,0.547272797
ANKRD9,9.661914262,0.050151972,0.098067861,0.186922239,0.582337652
RPS15AP30,10.41743658,0.050800167,0.097614322,0.191097645,0.588801858
SH3D21,6.729384023,-0.046087513,0.099094875,0.16137463,0.549905495
INE1,8.781032939,-0.053790395,0.095223558,0.209771322,0.608977398
AFF1,48.06352654,0.057781629,0.06856393,0.233675337,0.633897478
PDE4DIPP2,10.92093522,-0.056027868,0.091398398,0.223376096,0.623624168
RNU6-720P,24.22741545,0.057266766,0.08726986,0.230909107,0.631089894
KLHL20,26.59552627,-0.05812849,0.081959065,0.235981954,0.636608397
GLUD1P3,7.227712616,-0.053482964,0.095738886,0.208410728,0.607744001
RNU4-47P,12.96538827,0.047679303,0.098994606,0.172239703,0.565224736
GLUD1,87.94693874,0.057571791,0.086511636,0.233394384,0.633613619
CARMIL1,28.40358367,0.057079728,0.08774593,0.230812124,0.631089894
SOCS2,11.07627287,0.041709335,0.098999154,0.134702664,0.515022837
KRT8P39,7.489431083,-0.047254804,0.098897309,0.170457264,0.563433886
ADAMTSL2,10.07244626,-0.04496484,0.099021867,0.155973604,0.54574013
HECTD3,18.72644726,0.056461583,0.088870107,0.227877077,0.627717916
CDKAL1,29.09797124,0.05816028,0.082109426,0.238001959,0.638198719
CBX4,26.57794004,-0.056762054,0.087878777,0.229864001,0.630069148
SLC16A8,2.619623438,-0.041651846,0.098972963,0.13485126,NA
RABGEF1P2,2.238459539,-0.041486284,0.098988439,0.133784699,NA
PCDHGA11,5.136144429,-0.040636463,0.098699086,0.128393682,0.504988372
ZNF74,7.426080429,-0.050925071,0.097336778,0.194432251,0.592442367
RARA-AS1,3.525824219,0.046694055,0.09881196,0.167646985,NA
RNVU1-2A,2.992332555,-0.027383087,0.094944326,0.047598901,NA
ZBTB20-AS5,10.33479059,-0.052617201,0.096163662,0.205221392,0.603952616
PPP1CB,105.0014599,0.05716584,0.085122927,0.232855215,0.63311543
WDR6,56.74610651,-0.056443845,0.087056712,0.228565383,0.628690928
CASP1,24.49570443,0.053883294,0.094718807,0.213318374,0.612893224
SMC4,37.75948472,-0.047485855,0.098569651,0.173312962,0.565603149
GALNT10,45.48095696,-0.047316096,0.098548018,0.172241035,0.565224736
KLHL3,5.120775543,0.049773034,0.097898198,0.187969043,0.584264927
FAM98C,6.639375567,-0.05176451,0.096834524,0.200530135,0.600390063
C19orf12,12.48270476,0.02690377,0.08197464,0.045526929,0.324482052
C3orf38,21.19419066,0.05771966,0.077332397,0.237117931,0.637910019
TERF1,7.041515457,-0.053281119,0.095542177,0.210438274,0.610019023
LOC100131264,5.447967637,-0.049819138,0.098084252,0.188910224,0.585771888
OR7E128P,10.7546027,-0.054576697,0.093067003,0.218586283,0.619885357
DGKG,2.131643353,0.040909598,0.098651615,0.131545847,NA
MFSD5,20.44736946,-0.057943228,0.08218581,0.238945157,0.639332216
RNU1-109P,7.96116686,0.050703046,0.097247704,0.195057606,0.593525305
PDCD6IP,53.83853615,0.059238525,0.073455621,0.246931554,0.646576969
RSBN1,18.34010259,-0.057671226,0.080675044,0.237858466,0.638198719
RNU6-198P,12.63571103,-0.051199111,0.096885062,0.198395492,0.599178338
TCTN1,9.677416929,-0.053811992,0.094468019,0.214707382,0.614678201
MCPH1,9.479697816,0.054991505,0.091661107,0.221978204,0.622793393
GPR37,3.868861096,-0.028946665,0.095439219,0.057365339,NA
CPLANE2,7.731977774,-0.050318409,0.097560395,0.193246327,0.591441894
EIPR1,13.67854112,0.055625639,0.087223605,0.226374499,0.62679971
LCMT1-AS2,4.932770839,-0.049978109,0.097963103,0.191522227,0.588967142
BAZ2A,32.99161117,-0.056735559,0.086718949,0.233271064,0.633507993
TMED5,26.60835795,0.056999324,0.087461829,0.234898668,0.635720388
DDX50P1,6.218359024,-0.051916654,0.096486606,0.203849874,0.603147623
PEX3,15.85491005,-0.054886948,0.092217627,0.222249895,0.622793393
ZNF784,6.73056005,-0.052381848,0.096251949,0.206968102,0.605894654
TPM1,39.63865232,0.054075078,0.094163311,0.217462551,0.617852147
BEX3,143.3918431,-0.045512116,0.098645736,0.163438453,0.552670853
HOMER2,6.979300244,-0.037986806,0.098056388,0.114204925,0.483217642
LBH,83.20249782,0.052189182,0.095784334,0.206128255,0.605002829
SIGMAR1,37.34072744,-0.055404921,0.089860695,0.226108461,0.626409746
RSKR,3.447954377,-0.045904142,0.099040702,0.166240286,NA
TRAJ42,12.54325906,-0.041697842,0.098663629,0.138717128,0.519048446
PGLS-DT,2.176609059,-0.041043683,0.098798738,0.134422601,NA
C1QTNF1,9.062426262,0.043057888,0.098924973,0.147660668,0.532735178
RERG-IT1,2.790778726,0.040787671,0.098601469,0.132772546,NA
ZBED5,19.14840247,-0.057046084,0.086079454,0.236238591,0.637015443
KATNB1,12.00337054,-0.055163516,0.091892689,0.225081306,0.625166263
CFAP276,2.971001441,0.038017716,0.098114555,0.114992384,NA
RUFY3,34.51544098,-0.055477425,0.089872046,0.227351778,0.627172652
DYM,13.1992383,0.056852082,0.08549558,0.235652604,0.635848109
PRKRIP1,18.3204559,-0.057692361,0.081653724,0.240744736,0.642071514
PCDHAC2,4.757996637,-0.034108597,0.097000443,0.089944376,0.439106048
CISD1,17.76506395,0.056243622,0.087075898,0.232140731,0.632268621
PLPP1,36.28334902,0.052374676,0.096003899,0.208438782,0.607744001
PDE12,12.61544318,-0.056746307,0.087265983,0.235214638,0.635822831
SIAH2,25.39446065,0.057012315,0.085141138,0.236979757,0.637910019
MIR4714,16.53646703,0.045065435,0.09898522,0.161990795,0.550358043
TMEM8B,3.179741932,-0.042323038,0.098897222,0.144251693,NA
MRPL35P3,3.970138362,-0.045688385,0.098881572,0.166411646,NA
RPS15AP26,16.31560539,-0.049375277,0.097440898,0.190343329,0.588263157
BCL10,20.56939042,0.053247162,0.094722553,0.214863579,0.614888266
PLA2G10,16.44829964,0.036769913,0.097831662,0.107912718,0.472549829
RN7SL55P,2.776927219,-0.043343349,0.098926552,0.151283663,NA
PRKCSH,57.45468233,-0.057559721,0.07812649,0.2412339,0.642428625
LINC01503,1.833116451,0.038925731,0.098180647,0.122283818,NA
ZKSCAN3,8.13801087,-0.053185394,0.094769744,0.215094154,0.614936566
PHB1,28.64432712,-0.056668281,0.086058262,0.236526629,0.637178414
CRY2,32.00957436,-0.04951167,0.097358278,0.192129562,0.589382037
ULK1,10.91581562,-0.053912663,0.093210101,0.219874662,0.620811969
SWSAP1,3.588992662,-0.046217316,0.09885525,0.170916515,NA
LOC124902105,7.213794458,-0.04466808,0.09865429,0.160897692,0.549905495
ADGRG1,20.72588611,0.045408431,0.098852877,0.165802318,0.554892484
LINC02362,6.262066376,0.041431527,0.098621504,0.139645881,0.520149572
L3MBTL1,2.212626534,-0.041229177,0.098732711,0.138359279,NA
TARS1,83.87414401,0.052707653,0.095495726,0.212905664,0.612475965
FAM83D,14.29305182,0.043174062,0.098873344,0.151310048,0.538518179
TMEM45B,44.62118497,0.045064884,0.098862119,0.16380217,0.55283891
COX7B,53.03533235,0.056142796,0.089273316,0.234264415,0.634942013
MAPK1IP1L,40.17804382,0.057069927,0.084547345,0.239935646,0.640824563
CPQ,36.38356895,-0.051602161,0.095797653,0.206266334,0.605053287
BICRAL,19.13653548,-0.057015747,0.084085983,0.240107569,0.641055604
ADORA1,3.866891008,-0.030902475,0.09600693,0.072024859,NA
RNU11-4P,3.256769921,-0.031116932,0.096056746,0.073418419,NA
TRMT61B,17.7696867,-0.056998105,0.084235804,0.240504602,0.641659096
MESTP1,7.907800588,-0.041325648,0.09850191,0.140408077,0.521342999
IGBP1P1,1.964082413,-0.038523886,0.098143486,0.121765859,NA
LINC03108,1.715000317,0.038199249,0.097975149,0.119606941,NA
ZFP2,2.475384923,-0.041728534,0.09872922,0.143401866,NA
DHX37,10.66729791,-0.05347259,0.093502178,0.219698647,0.620703748
HEPFAL,1.701436922,-0.037764034,0.09801141,0.117013792,NA
ERG,8.045830231,0.050506657,0.096542564,0.201342105,0.600390063
GTF2IP20,8.871044812,-0.052590552,0.095032177,0.214579957,0.614678201
MANBAL,28.79844537,0.056193172,0.079961567,0.237427901,0.638051418
RNF216P1,6.674092186,-0.052004187,0.095747419,0.211534814,0.611196633
RNU1-34P,3.196847247,0.03801278,0.097968448,0.119739237,NA
UBL5,70.51963183,-0.057250163,0.077207293,0.244399891,0.645109627
ZAP70,7.774863082,-0.044174504,0.098429598,0.1610601,0.549905495
IMMP1L,6.831533234,-0.052205236,0.095463144,0.213348907,0.612893224
SLC35A5,22.50686958,0.056440829,0.083584086,0.239772651,0.640731262
TRDV1,1.91545403,-0.035989459,0.09748876,0.106518882,NA
DND1P1,3.768756305,-0.042523734,0.09866949,0.150372262,NA
SRPK3,3.829228808,-0.038407543,0.098016297,0.12275676,NA
STK32A,21.45349075,-0.039407886,0.098165036,0.12966639,0.506098971
SREK1IP1,11.999289,-0.050206267,0.096654471,0.201365115,0.600390063
MEA1,22.5744343,-0.054992888,0.090139811,0.231597641,0.63170645
MNX1,2.007429414,-0.037112875,0.097780403,0.114543316,NA
CEP250,12.45493112,-0.053603689,0.093219302,0.223179532,0.623473808
PKN1,43.25772287,-0.054235332,0.091234096,0.227282026,0.627172652
LMO4,21.55570221,0.052179021,0.095167902,0.214404399,0.614631405
ZNF28,16.80414945,0.053245398,0.093916319,0.221253365,0.622464887
GPR39,17.78647905,-0.043859502,0.098457181,0.160270605,0.549284577
NEK5,2.11187736,0.038691404,0.098015007,0.125512995,NA
ZFYVE21,8.960246821,-0.054134456,0.092493209,0.22689398,0.627172652
SLC25A11,31.21880337,0.056907636,0.079849453,0.24417528,0.645109627
RN7SL297P,4.861404294,-0.047743573,0.09814511,0.186356088,0.581902409
SCARNA7,2372.255767,0.054790675,0.090318219,0.231312048,0.631386404
MRGBP,20.27964951,-0.048498223,0.097415145,0.191360647,0.58890342
GDPD3,6.349999955,-0.040627179,0.09827055,0.138955806,0.519240254
BANK1,8.128128316,0.047622305,0.097957871,0.186039198,0.581677631
RNF128,21.53003323,0.034246749,0.097024778,0.096551198,0.45265381
DCUN1D3,20.82533837,-0.052205216,0.094480321,0.21584943,0.616054902
HDAC4,6.933564676,0.05186995,0.094654515,0.213735369,0.613563041
SRMP2,13.35152814,-0.055144669,0.089649357,0.234363557,0.635096046
MIR4698,13.04089824,-0.04525769,0.098301004,0.17075956,0.563433886
RAB21,15.15737821,-0.046856264,0.097896905,0.181375765,0.576546005
HSD3B7,10.26738793,-0.049284413,0.09713179,0.197385388,0.597811678
KIAA1671-AS1,3.503000641,-0.044308062,0.098623988,0.164676054,NA
RAB11FIP1P1,16.38192212,-0.054804841,0.090905173,0.232649388,0.632850183
DYNC1H1,72.88441154,-0.056858046,0.072627299,0.24526738,0.645191618
TCN1,36.34244654,0.026907221,0.094810954,0.051339006,0.343250996
DCTN2,21.40403553,-0.055812341,0.087218032,0.238950948,0.639332216
HEATR5A-DT,1.768128742,-0.038332646,0.098056573,0.124478648,NA
FUT11,18.05524408,0.056210368,0.084699515,0.241547135,0.642428625
POT1,10.78532353,0.052592936,0.087228075,0.219090183,0.620362883
PCDHGA12,4.608206573,-0.042056955,0.098455446,0.14992792,NA
CEP15,5.797751974,-0.04885879,0.097386876,0.195449599,0.593745898
RPL31P7,2.915312901,-0.043087439,0.098676659,0.157182879,NA
P2RY13,7.893047943,0.049762272,0.096685012,0.201557225,0.600630125
TMEM230,64.20160105,0.056267903,0.084778937,0.242691878,0.643394994
RPS10P15,5.208924767,-0.048601583,0.097575016,0.194155811,0.592092386
MOAP1,42.2211761,-0.053137232,0.092669057,0.223399544,0.623624168
IRF5,10.52204917,-0.050808053,0.096008454,0.208590827,0.607857312
EPN2-AS1,7.146893708,-0.047053445,0.097966695,0.184144041,0.579459833
KPNA6,48.87583138,-0.056029932,0.081142526,0.241523957,0.642428625
RABGGTB,35.22589235,0.056525892,0.082569524,0.244658125,0.645109627
SOX5-AS1,2.635485986,0.040827593,0.098235156,0.142424605,NA
GGNBP2,29.60316759,-0.057037601,0.073562949,0.247824295,0.647041688
STK17A,36.83011593,-0.054224795,0.090807574,0.230590247,0.630943652
SLC13A4,3.203933291,-0.042562491,0.098597681,0.154297713,NA
EXT2,24.07085237,0.334600355,0.115318242,0.788608368,0.943263335
RIBC2,4.009138318,0.040214369,0.098346102,0.138631194,NA
SPP1,783.5906458,0.037612521,0.097849647,0.120948933,0.494910483
SMC3,37.43712244,0.058406094,0.081106504,0.256596005,0.655573586
SP4,16.0932388,-0.055279616,0.088533678,0.237644344,0.638198719
RNU6-876P,4.310573903,0.044706309,0.098294195,0.169255771,NA
ARHGEF38,33.02301616,-0.043969843,0.098062905,0.164339632,0.553410408
SATB1,8.723873697,0.049656139,0.096730061,0.20212316,0.601520601
LINC02788,1.994771965,-0.03894644,0.098082725,0.130325035,NA
TBILA,17.05120831,-0.043315401,0.098340915,0.160091153,0.549281571
ZNF335,15.06715603,-0.05631874,0.084504396,0.244399842,0.645109627
CHN2-AS1,4.325711933,-0.040399814,0.098234612,0.140314202,NA
FCF1P8,5.745756226,-0.038458258,0.09793673,0.127099526,0.503102292
GNA14,24.17238357,-0.044225648,0.098258001,0.166481711,0.556050396
MRPS10P1,2.674241599,-0.038494244,0.097976744,0.127516832,NA
ATXN1-AS1,10.89990423,-0.052723218,0.093656119,0.222355083,0.622793393
SLC9A3-AS1,6.378837811,-0.042494792,0.098422256,0.154883241,0.54344721
ZNF415,6.415214397,-0.046559276,0.098066968,0.182274281,0.577470672
